YEAR,MONTH,DAY,HR,WS,T2M,MSLP,RH2,dates,observations,station
2006,1,1,0,7.9,-6.1,1006.1,89.9,2006010100,2.6,LGR
2006,1,1,21,7.3,-6.8,1008.6,71.9,2006010121,3.1,SPZ
2006,1,2,6,9.2,-6.7,1007,86.5,2006010206,5.1,LGR
2006,1,2,12,11.8,-6.3,1013.5,86.6,2006010212,2.8,SPZ
2006,1,2,21,15.9,-7.6,1011.6,75.4,2006010221,2.1,LGR
2006,1,3,3,9.3,-7.8,1022.5,91.3,2006010303,2.8,SPZ
2006,1,3,18,9.3,-7.2,1025.1,80.9,2006010318,5.1,LGR
2006,1,4,9,4.9,-7.9,1024.8,70.3,2006010409,3.4,SPZ
2006,1,10,0,1.7,-6,1030.5,23.5,2006011000,2.1,LGR
2006,1,10,15,3,-3.7,1029.8,22.2,2006011015,2.1,SPZ
2006,1,11,21,4,-4.2,1029,12.6,2006011121,2.1,LGR
2006,1,12,12,1,-2.5,1030.9,63.4,2006011212,2.4,SPZ
2006,1,14,9,3.4,-3.5,1028.8,5.5,2006011409,2.6,LGR
2006,1,17,21,4.4,-6.9,1015.3,97.4,2006011721,8.2,SPZ
2006,1,18,12,7.9,-4.5,1006.3,84.7,2006011812,7.7,LGR
2006,1,19,3,12.9,-10.5,1017.4,76,2006011903,12.9,SPZ
2006,1,19,9,3.4,-6.7,1024.1,56.7,2006011909,3.4,LGR
2006,1,20,0,3.7,-0.5,1020.6,43.8,2006012000,4.1,SPZ
2006,1,20,15,2,2.9,1019.6,47.9,2006012015,1.6,LGR
2006,1,21,6,11.4,-3.3,1019.5,74.4,2006012106,3.3,SPZ
2006,1,21,21,8.4,-7.4,1024.5,84.9,2006012121,2.6,LGR
2006,1,22,12,10.8,-7.2,1029.7,77.8,2006012212,4.1,SPZ
2006,1,23,3,7.9,-10.5,1032.4,62.7,2006012303,5.8,LGR
2006,1,23,12,10.2,-9.5,1029.4,51.2,2006012312,5.1,SPZ
2006,1,23,18,3.4,-9.8,1033,25.8,2006012318,3.9,LGR
2006,1,24,9,4,-7.6,1033.1,16.4,2006012409,3.1,SPZ
2006,1,26,21,8.9,-11.4,1018.4,81,2006012621,4.3,LGR
2006,1,27,6,7.7,-8.4,1021,87.5,2006012706,2.1,SPZ
2006,1,27,12,9.7,-5.8,1018.9,83.7,2006012712,2.9,LGR
2006,1,27,21,9.6,-5.6,1022.6,87.6,2006012721,1,SPZ
2006,1,28,3,8.2,-6.1,1025,87.5,2006012803,3.8,LGR
2006,2,1,12,1.1,5.3,1018.3,32.3,2006020112,1.6,SPZ
2006,2,2,3,2.4,-0.8,1017.1,32.8,2006020203,2.1,LGR
2006,2,2,18,1.9,-1,1014.1,29.7,2006020218,3.1,SPZ
2006,2,4,0,5.8,-6.9,1020.2,52.4,2006020400,3.9,LGR
2006,2,4,15,7,-3.5,1017,47.7,2006020415,3.3,SPZ
2006,2,5,6,6.1,-9.9,1024.7,48.9,2006020506,5.5,LGR
2006,2,5,21,5.5,-10.7,1026.5,38.4,2006020521,3.6,SPZ
2006,2,6,6,4.5,-12.3,1023.1,65.3,2006020606,3.1,LGR
2006,2,6,12,9.6,-8.3,1027.1,78.2,2006020612,6.3,SPZ
2006,2,6,21,5.7,-9.9,1024.4,62.6,2006020621,4.1,LGR
2006,2,7,3,5.5,-6.8,1024.1,70.9,2006020703,3.1,SPZ
2006,2,7,18,13.3,-0.4,1014.6,66.9,2006020718,2.2,LGR
2006,2,8,9,2.7,-0.3,1007.1,39.5,2006020809,1.6,SPZ
2006,2,9,0,5.8,-10.6,1013.9,78.9,2006020900,2.3,LGR
2006,2,9,15,11.3,-7.3,1006.4,70.2,2006020915,2.1,SPZ
2006,2,10,15,7,-10.8,1016.1,79.9,2006021015,5.1,LGR
2006,2,10,21,10,-9.7,1019.4,75,2006021021,3.1,SPZ
2006,2,11,12,7,-9.5,1026.1,65.6,2006021112,3.1,LGR
2006,2,12,3,2.9,-12.9,1027.8,35.9,2006021203,4.8,SPZ
2006,2,13,9,4.1,-7.3,1022.5,34.1,2006021309,4.1,LGR
2006,2,14,0,4.1,-3.6,1020,58.2,2006021400,2.1,SPZ
2006,2,15,15,6,-4,1013.8,98.5,2006021515,6.2,LGR
2006,2,16,6,2.9,-3.5,1002,92.6,2006021606,3.1,SPZ
2006,2,18,3,1.7,-7.5,1009.4,51.6,2006021803,5.1,LGR
2006,2,18,9,7.3,-3.5,1005,76.4,2006021809,2.6,SPZ
2006,2,18,18,8.3,-4.4,1006.8,98.1,2006021818,5.1,LGR
2006,2,19,0,8.6,-3.7,1004.4,74.4,2006021900,6.2,SPZ
2006,2,19,9,4.7,-5.4,1011.6,70.9,2006021909,1,LGR
2006,2,19,15,6.9,-3,1007.6,87.2,2006021915,2.1,SPZ
2006,2,20,0,5.5,-5.3,1008.4,96.3,2006022000,5.1,LGR
2006,2,20,6,5.3,-4.4,1003.9,87,2006022006,7.2,SPZ
2006,2,20,15,3.8,-2.9,1006,88.1,2006022015,2.1,LGR
2006,2,21,6,2.3,-9.1,1011.3,99.9,2006022106,2.1,SPZ
2006,2,27,18,3.9,-11.5,1013.3,40.6,2006022718,1.3,LGR
2006,2,28,9,3.3,-8.2,1007,51.4,2006022809,2.2,SPZ
2006,3,2,6,3.2,-16.9,1011.2,37.7,2006030206,3.3,LGR
2006,3,2,15,3.3,-12,1008.3,68.1,2006030215,2.1,SPZ
2006,3,3,6,4.7,-12,1011.4,83.7,2006030306,4.1,LGR
2006,3,3,12,4.1,-2.4,1001.3,78,2006030312,5.1,SPZ
2006,3,3,21,10.2,-5.5,1004.9,97.6,2006030321,6.2,LGR
2006,3,4,3,6.8,-4.6,1000.1,84.1,2006030403,6.2,SPZ
2006,3,4,12,13.2,-2.2,997.8,95.3,2006030412,3.1,LGR
2006,3,4,18,7.2,0.3,990.7,82.2,2006030418,4.1,SPZ
2006,3,5,3,12.2,-1.8,992.5,98.7,2006030503,5.7,LGR
2006,3,5,9,10.5,-4.8,994.9,84.8,2006030509,6.5,SPZ
2006,3,5,18,9.4,-10.7,1003.1,68.9,2006030518,8.8,LGR
2006,3,6,0,8.1,-12.2,1017.7,69.9,2006030600,2.1,SPZ
2006,3,6,9,10.9,-11.2,1010.1,65.9,2006030609,4.1,LGR
2006,3,6,15,9.5,-10.4,1015.7,81.5,2006030615,4.8,SPZ
2006,3,7,0,7.4,-15.5,1020.1,46.6,2006030700,4.1,LGR
2006,3,7,6,12.4,-12.1,1019.4,84.4,2006030706,3.1,SPZ
2006,3,7,15,13.4,-12.9,1020.5,71.2,2006030715,10.3,LGR
2006,3,10,3,1.4,-4.8,1007.7,93.6,2006031003,3.6,SPZ
2006,3,11,15,7.4,-6.9,1009,75.8,2006031115,4.1,LGR
2006,3,12,6,10.5,-15,1018.1,76.9,2006031206,2.6,SPZ
2006,3,12,15,14.6,-13.2,1016.3,72.6,2006031215,5.1,LGR
2006,3,12,21,8.9,-14.9,1028.1,77.2,2006031221,5.7,SPZ
2006,3,13,12,8.6,-8.1,1022.6,68.5,2006031312,6.5,LGR
2006,3,14,3,6.2,-10,1022.4,39.8,2006031403,7,SPZ
2006,3,14,18,7.5,-6,1019.4,69.4,2006031418,2.8,LGR
2006,3,16,15,2,-4.2,1016.9,85.5,2006031615,1.6,SPZ
2006,3,21,15,4.4,-0.3,1007.6,82,2006032115,2.6,LGR
2006,3,23,12,7.9,-0.5,1007.4,77.7,2006032312,2.6,SPZ
2006,3,24,12,6,-3.3,1013,95.6,2006032412,3.1,LGR
2006,3,28,6,3.7,-0.4,1012.4,86.2,2006032806,6.2,SPZ
2006,3,31,15,7.7,2.8,1014.7,65.7,2006033115,3.6,LGR
2006,4,1,15,2.7,0.8,1018,84.7,2006040115,4.1,SPZ
2006,4,3,12,7.1,0.3,1017.7,74.4,2006040312,5.1,LGR
2006,4,3,18,7.5,-3,1021.2,70.8,2006040318,2.2,SPZ
2006,4,4,18,6.5,-2.5,1016.6,98,2006040418,5.1,LGR
2006,4,5,15,6.3,0.2,1002,91.6,2006040515,2.1,SPZ
2006,4,6,6,9.1,-6.4,1011.8,84.7,2006040606,3.3,LGR
2006,4,8,12,2.4,-0.8,1016.6,79.6,2006040812,2.1,SPZ
2006,4,9,9,4.8,0.6,1014,85.4,2006040909,2.6,LGR
2006,4,9,18,4.4,-0.1,1015.1,97.4,2006040918,2.1,SPZ
2006,4,10,0,8.7,-1.5,1006.8,88.5,2006041000,5.1,LGR
2006,4,10,9,5.2,0.8,1010.6,96.6,2006041009,5.1,SPZ
2006,4,10,15,5.9,1.6,1004.6,94.8,2006041015,3.9,LGR
2006,4,11,6,11.5,-7.5,1013.1,85.6,2006041106,7.4,SPZ
2006,4,11,15,13.4,-3.2,1007.6,75.5,2006041115,3.6,LGR
2006,4,11,21,9.8,-6.1,1018.6,86.9,2006041121,5.1,SPZ
2006,4,12,12,7,-2.2,1013.3,78.2,2006041212,2.6,LGR
2006,4,12,21,13.2,-6,1013.2,76.8,2006041221,8.2,SPZ
2006,4,13,3,6.7,-6.5,1018.3,76.3,2006041303,2.4,LGR
2006,4,13,18,9.1,1.2,1012.8,79.1,2006041318,2.6,SPZ
2006,4,15,9,3.7,5,1017,77.3,2006041509,5.1,LGR
2006,4,15,15,5.5,6.4,1014.6,82,2006041515,5.1,SPZ
2006,4,19,18,0.8,1,1014.9,97.7,2006041918,3.1,LGR
2006,4,20,15,0.7,4.6,1016.1,73.5,2006042015,2.6,SPZ
2006,4,23,3,1.9,2.2,1017.1,83.3,2006042303,3.6,LGR
2006,4,23,12,3.1,4.8,1017,76.9,2006042312,3.1,SPZ
2006,4,24,18,4.8,4.5,1020.8,87.4,2006042418,1,LGR
2006,4,27,12,7.8,7.2,1013.6,81.9,2006042712,3.1,SPZ
2006,4,28,3,7.8,2.9,1012.8,96.2,2006042803,2.6,LGR
2006,4,28,12,4.6,5.2,1009.3,84.2,2006042812,2.1,SPZ
2006,4,28,18,10.5,3.7,1010.8,87.9,2006042818,3.6,LGR
2006,4,29,9,5.3,2.5,1008.7,78.4,2006042909,2.7,SPZ
2006,4,29,18,2.5,0.5,1006.7,96,2006042918,2.6,LGR
2006,4,30,0,5.2,-3.4,1014.1,81.6,2006043000,2.1,SPZ
2006,4,30,15,4.9,3.7,1007.6,63.1,2006043015,6.2,LGR
2006,5,1,15,5.4,1.6,1013.7,97.9,2006050115,5.7,SPZ
2006,5,2,12,2.7,4.6,1018.5,80.4,2006050212,2.6,LGR
2006,5,4,9,4.4,7.3,1020.5,70.3,2006050409,1,SPZ
2006,5,5,0,4.5,2.3,1023.5,95.2,2006050500,1.6,LGR
2006,5,5,15,6.1,7.1,1020.7,85.6,2006050515,2.6,SPZ
2006,5,7,21,0.7,1.8,1019.4,93.6,2006050721,1,LGR
2006,5,8,18,4.3,3.9,1014.1,94.6,2006050818,2.3,SPZ
2006,5,9,3,5.5,1.7,1013.1,99,2006050903,1,LGR
2006,5,9,18,8.6,1.4,1010,95.2,2006050918,6.2,SPZ
2006,5,10,0,3.6,1.4,1015.1,61.2,2006051000,2.1,LGR
2006,5,12,21,3.9,2.7,1022.8,93.2,2006051221,4.1,SPZ
2006,5,13,12,5.3,5.8,1021.3,89,2006051312,4.1,LGR
2006,5,13,18,4.1,7.9,1017.4,76.3,2006051318,2.6,SPZ
2006,5,14,9,8.4,5.1,1020.8,88,2006051409,2.1,LGR
2006,5,15,9,3.1,4.9,1023,89.7,2006051509,3.1,SPZ
2006,5,15,15,3.3,11.4,1020.1,69.8,2006051515,2.2,LGR
2006,5,16,15,4.8,8.9,1021,92.1,2006051615,6.2,SPZ
2006,5,17,12,6.8,8.6,1021.4,84,2006051712,2.6,LGR
2006,5,18,12,6.1,11.9,1020.7,91.3,2006051812,5.1,SPZ
2006,5,19,9,6.6,8.4,1015.6,70.4,2006051909,4.1,LGR
2006,5,19,18,2.9,8.2,1013.1,92.3,2006051918,4.1,SPZ
2006,5,20,0,4,5,1010.3,72,2006052000,2.1,LGR
2006,5,20,9,4,6.4,1009.8,94.7,2006052009,4.1,SPZ
2006,5,20,15,8,10.8,1004.5,78.1,2006052015,2.1,LGR
2006,5,21,15,4.8,8.4,1011.3,95.4,2006052115,1,SPZ
2006,5,22,6,4.1,5.7,1015.1,94,2006052206,1,LGR
2006,5,22,12,8.9,12.5,1011.2,63.5,2006052212,3.3,SPZ
2006,5,22,21,6.1,5.8,1016.2,96.7,2006052221,3.1,LGR
2006,5,23,18,6.2,5.9,1017.7,86.6,2006052318,3.6,SPZ
2006,5,24,18,6.9,4.5,1018.6,77.2,2006052418,4.1,LGR
2006,5,25,9,5.4,4.6,1023.1,47.1,2006052509,2.1,SPZ
2006,5,25,15,3.5,11.3,1020.5,46.9,2006052515,2.6,LGR
2006,5,26,15,5.8,10.3,1023.7,74.1,2006052615,3.1,SPZ
2006,5,27,6,10.9,7.8,1021.3,73,2006052706,2.1,LGR
2006,5,27,12,7.7,12.4,1025.3,70.2,2006052712,2.1,SPZ
2006,5,28,12,9.6,13.8,1017.5,53.4,2006052812,6.2,LGR
2006,5,28,18,8,10.1,1016.4,74.2,2006052818,1.6,SPZ
2006,5,29,9,4.8,9.6,1010.3,75,2006052909,3.1,LGR
2006,5,29,18,5.8,6.2,1005.1,95.5,2006052918,2.1,SPZ
2006,5,30,0,7.4,-2.1,1011.7,80.2,2006053000,1.6,LGR
2006,5,30,15,13.1,1.2,1008.8,61.4,2006053015,5.1,SPZ
2006,5,31,0,8.6,-3.5,1015.1,65.1,2006053100,4.1,LGR
2006,5,31,15,6,0,1013.9,77.3,2006053115,2.1,SPZ
2006,5,31,21,8.1,-3.3,1020.8,80.3,2006053121,3.1,LGR
2006,6,1,12,6.6,0.4,1021.4,78.7,2006060112,1.4,SPZ
2006,6,2,12,7.9,2.3,1018.1,55.3,2006060212,5.1,LGR
2006,6,2,18,10.5,-0.5,1024.2,89.6,2006060218,6.7,SPZ
2006,6,3,3,14.5,-1.3,1018.3,87.6,2006060303,8.8,LGR
2006,6,3,9,12.1,1.3,1025.1,78.2,2006060309,7.2,SPZ
2006,6,3,18,14.1,3.4,1016.8,67.4,2006060318,6.7,LGR
2006,6,4,9,5.6,4.5,1017.3,74.2,2006060409,5.1,SPZ
2006,6,4,15,9.6,6.5,1019.4,68.4,2006060415,2.6,LGR
2006,6,5,15,4.4,5.2,1018.7,81.4,2006060515,4.1,SPZ
2006,6,6,12,6.9,6.5,1021.1,60,2006060612,3.6,LGR
2006,6,7,12,2.4,5,1023.4,52.8,2006060712,3.1,SPZ
2006,6,8,9,3.7,7.3,1024.5,48.9,2006060809,2.1,LGR
2006,6,8,18,2,4,1025.9,92.6,2006060818,4.1,SPZ
2006,6,9,15,8.7,11,1022.1,45.6,2006060915,2.8,LGR
2006,6,10,15,10,11.3,1020.5,50.1,2006061015,5.1,SPZ
2006,6,10,21,7,6.8,1024.5,83.7,2006061021,1.7,LGR
2006,6,11,12,4.2,13,1024.2,36.6,2006061112,2.8,SPZ
2006,6,12,12,3.7,9.4,1028.5,84.3,2006061212,2.1,LGR
2006,6,12,18,1.9,13.1,1026.4,76.4,2006061218,3.1,SPZ
2006,6,13,18,2.7,12.1,1023.5,74.2,2006061318,5.1,LGR
2006,6,14,9,4.9,15,1020,24.6,2006061409,1,SPZ
2006,6,14,15,7.2,17.2,1019.4,45.7,2006061415,2.3,LGR
2006,6,15,15,6,15.8,1021.6,73.2,2006061515,6.2,SPZ
2006,6,16,21,3.7,10.9,1022.2,67.2,2006061621,1.6,LGR
2006,6,18,9,3.5,16.3,1020.9,61.5,2006061809,2.1,SPZ
2006,6,19,9,3.7,14.3,1021.9,61.3,2006061909,1,LGR
2006,6,19,15,6.3,14.9,1020.2,73.4,2006061915,2.2,SPZ
2006,6,20,15,5.3,18.5,1021.9,59.9,2006062015,4.1,LGR
2006,6,21,12,7.5,19.8,1017.9,45.5,2006062112,3.9,SPZ
2006,6,22,12,6.5,16.9,1017.2,51.3,2006062212,7.7,LGR
2006,6,23,9,3.4,14.4,1016.7,77.4,2006062309,2.1,SPZ
2006,6,23,18,3.8,13.7,1017.6,86.6,2006062318,3.1,LGR
2006,6,24,15,4.3,14.2,1018,84.5,2006062415,3.4,SPZ
2006,6,25,15,8.1,17.4,1019.8,66.4,2006062515,5.1,LGR
2006,6,26,6,5.2,12.7,1020.7,82.4,2006062606,3.1,SPZ
2006,6,26,12,6.1,18.6,1017.9,55.4,2006062612,3.6,LGR
2006,6,27,12,5.7,18.3,1022,61,2006062712,4.1,SPZ
2006,6,27,18,4.5,18,1018.1,65.4,2006062718,1.6,LGR
2006,6,28,3,4.5,11.2,1022.5,81.5,2006062803,5.1,SPZ
2006,6,28,9,6,16.3,1019.7,67.4,2006062809,2.6,LGR
2006,6,28,18,7.7,17.8,1019.1,55.2,2006062818,3.1,SPZ
2006,6,29,0,5.8,10.4,1020.9,77.5,2006062900,4.1,LGR
2006,6,29,9,6.7,12.2,1022,72.9,2006062909,2.1,SPZ
2006,6,29,15,4.3,15.1,1018.2,71.3,2006062915,3.1,LGR
2006,6,30,6,8.2,9.2,1023.4,70.4,2006063006,2.9,SPZ
2006,6,30,21,7.6,10.7,1024.9,84.9,2006063021,3.1,LGR
2006,7,1,12,7.6,16.2,1022.6,38.5,2006070112,3.3,SPZ
2006,7,2,3,0.5,9.1,1021.4,74.4,2006070203,2.1,LGR
2006,7,2,12,4.7,13.1,1021,71.8,2006070212,4.1,SPZ
2006,7,2,18,5.6,14.8,1019.4,73.9,2006070218,2.9,LGR
2006,7,3,9,3.9,15.1,1018.8,59.7,2006070309,2.1,SPZ
2006,7,4,0,3.1,10.8,1022.3,82,2006070400,5.1,LGR
2006,7,4,9,3.7,12.9,1021.9,78,2006070409,2.1,SPZ
2006,7,4,15,5,19.4,1019.3,49.4,2006070415,3.6,LGR
2006,7,5,15,6,14.3,1024.3,75.2,2006070515,3.1,SPZ
2006,7,6,12,7.1,17.6,1020.3,61.2,2006070612,5.9,LGR
2006,7,7,12,6.7,13.9,1018.9,71.5,2006070712,1,SPZ
2006,7,8,9,7.1,13.4,1020,70,2006070809,3.4,LGR
2006,7,9,0,3.2,10.6,1024.5,75.4,2006070900,3.1,SPZ
2006,7,9,9,3.9,13.3,1023.6,58.1,2006070909,2.6,LGR
2006,7,9,15,1.3,16.1,1020.2,69.2,2006070915,1.6,SPZ
2006,7,11,12,5.8,19.6,1025.3,53.1,2006071112,3.1,LGR
2006,7,12,12,3.8,17.7,1024.5,50.8,2006071212,3.1,SPZ
2006,7,12,18,5.7,17.6,1021.9,61.9,2006071218,6.4,LGR
2006,7,13,9,7.3,16.3,1022.4,54.3,2006071309,3.3,SPZ
2006,7,15,15,5.6,13.9,1025.9,93.3,2006071515,6.2,LGR
2006,7,16,12,7.3,18.6,1024.5,41.7,2006071612,4.1,SPZ
2006,7,17,12,4.7,14.6,1025.2,67.9,2006071712,4.1,LGR
2006,7,17,18,4,16.9,1023.4,48.5,2006071718,2.7,SPZ
2006,7,18,18,2.9,14.2,1025.4,77.5,2006071818,1,LGR
2006,7,19,15,4.5,20.4,1023.7,43.2,2006071915,2.6,SPZ
2006,7,20,21,4.7,14.9,1025.7,80.9,2006072021,4.1,LGR
2006,7,22,12,4.6,19,1021.7,46.9,2006072212,2.1,SPZ
2006,7,23,9,6.7,17.1,1022,59.7,2006072309,3.3,LGR
2006,7,24,15,3.8,21.4,1019.4,49.1,2006072415,3.1,SPZ
2006,7,25,15,5.2,17.4,1021.6,75.3,2006072515,5.1,LGR
2006,7,26,12,3.6,21.5,1020,42.6,2006072612,2.1,SPZ
2006,7,27,12,2.5,16.5,1021.2,75.2,2006072712,4.1,LGR
2006,7,28,18,7.4,13.2,1014.8,84.7,2006072818,1,SPZ
2006,7,29,15,6.5,17.3,1010.4,66.3,2006072915,1,LGR
2006,7,30,6,6.5,11.8,1017.1,77.1,2006073006,3.1,SPZ
2006,7,30,15,4.3,15.6,1017.4,76.1,2006073015,3.1,LGR
2006,7,31,12,2.2,18.2,1017.4,55.5,2006073112,2.1,SPZ
2006,8,1,12,4.1,13.1,1013.2,94.5,2006080112,3.1,LGR
2006,8,2,9,7.2,11,1012.9,61.4,2006080209,6.2,SPZ
2006,8,2,18,4.2,10.2,1011.7,91.1,2006080218,3.1,LGR
2006,8,3,0,5.5,6.8,1007,85.2,2006080300,5.1,SPZ
2006,8,3,15,6.8,11.5,1002.4,74.1,2006080315,4.6,LGR
2006,8,4,6,11.1,4.6,1008,91.3,2006080406,5.8,SPZ
2006,8,4,15,9.6,12.1,1006.8,45.8,2006080415,4.1,LGR
2006,8,5,12,8,11.9,1012.9,56.9,2006080512,3.1,SPZ
2006,8,6,3,7,6,1016.4,82.2,2006080603,2.6,LGR
2006,8,6,18,9.4,9.3,1016,77.9,2006080618,2.6,SPZ
2006,8,7,3,3.7,6,1014.7,85.2,2006080703,1,LGR
2006,8,7,9,11.8,9.6,1015.1,84.7,2006080709,3.1,SPZ
2006,8,7,18,11.2,10.9,1011.8,60,2006080718,6.2,LGR
2006,8,8,0,7.5,7,1015.8,86,2006080800,3.1,SPZ
2006,8,8,15,9.3,13.6,1012.6,56,2006080815,4.6,LGR
2006,8,9,15,3.6,9.8,1013.4,86,2006080915,5.1,SPZ
2006,8,10,12,6.9,13,1011.9,50.4,2006081012,3.1,LGR
2006,8,11,18,7.6,9.3,1008.8,66.9,2006081118,3.3,SPZ
2006,8,12,9,6.8,6.2,1006.8,80,2006081209,3.1,LGR
2006,8,13,15,4.9,8.3,1006.8,77.6,2006081315,3.1,SPZ
2006,8,14,15,5.3,7.8,1010.1,90.8,2006081415,2.1,LGR
2006,8,15,12,5.5,12.5,1013.4,49.1,2006081512,3.6,SPZ
2006,8,15,21,5.3,6.1,1017.4,97.2,2006081521,5.1,LGR
2006,8,16,12,9,8.1,1014,98.7,2006081612,2.1,SPZ
2006,8,17,3,4.6,8.5,1014.2,99.2,2006081703,3.1,LGR
2006,8,17,18,6.8,11,1015.5,93.4,2006081718,2.1,SPZ
2006,8,18,0,4.6,10.4,1016.7,56.4,2006081800,2.6,LGR
2006,8,18,9,5.8,9.7,1016.2,95.8,2006081809,5.1,SPZ
2006,8,18,15,7.8,16.6,1014,56.2,2006081815,4.1,LGR
2006,8,19,0,2.6,9.6,1022.1,80.9,2006081900,6.2,SPZ
2006,8,19,6,5.5,10.5,1019.6,74.5,2006081906,1.6,LGR
2006,8,19,15,6.4,15.2,1021.7,69.2,2006081915,2.1,SPZ
2006,8,19,21,4.2,11.5,1020.6,75.2,2006081921,1,LGR
2006,8,20,12,3.7,12.8,1020.5,71,2006082012,5.1,SPZ
2006,8,21,3,4.9,6.7,1023.4,77.6,2006082103,2.1,LGR
2006,8,21,12,2.4,12,1020.4,60.4,2006082112,5.1,SPZ
2006,8,21,18,4.8,11.5,1019.9,60.2,2006082118,3.6,LGR
2006,8,22,9,5.7,11.1,1018.6,64.6,2006082209,2.6,SPZ
2006,8,23,15,4.7,16,1014.6,42.4,2006082315,3.1,LGR
2006,8,24,15,4.5,10.8,1013.6,81.5,2006082415,6.2,SPZ
